#frame,fps
0,5.747827
1,6.252627
2,5.40031
3,5.900586
4,6.537024
5,7.249827
6,8.034743
7,8.904982
8,9.862402
9,10.92848
10,12.10306
11,13.3996
12,14.82591
13,16.40757
14,18.1493
15,20.06039
16,22.16046
17,24.4661
18,27.00869
19,29.76732
20,32.75915
21,36.06551
22,39.68565
23,43.61435
24,47.87818
25,51.62245
26,56.39202
27,61.34877
28,67.05573
29,73.17916
30,79.22372
31,85.81816
32,92.28898
33,99.94585
34,108.0059
35,115.5055
36,123.2957
37,132.5233
38,141.2394
39,151.0366
40,161.0955
41,171.798
42,178.0129
43,185.4671
44,195.2308
45,206.1223
46,217.7923
47,228.7127
48,237.9996
49,247.4617
50,256.5948
51,264.2772
52,273.0632
53,278.2276
54,285.3684
55,292.5245
56,300.2385
57,307.3616
58,311.451
59,317.5097
60,322.9475
61,328.9635
62,333.1062
63,336.7853
64,333.8289
65,331.355
66,331.9281
67,336.6663
68,343.2097
69,347.4173
70,352.1543
71,355.8012
72,354.7279
73,320.0741
74,283.8854
75,293.0314
76,299.9568
77,307.1242
78,311.2966
79,319.0216
80,326.3691
81,333.5509
82,335.761
83,343.0545
84,347.466
85,352.4923
86,354.4393
87,360.403
88,366.9194
89,368.2068
90,371.2726
91,375.5594
92,381.1767
93,382.6433
94,385.3075
95,388.026
96,385.4512
97,386.9661
98,387.9931
99,390.6542
100,392.7502
101,396.1694
102,397.8871
103,393.9958
104,393.0202
105,392.7948
106,392.6138
107,394.1975
108,394.3296
109,392.5764
110,392.5005
111,393.2919
112,395.9665
113,398.4223
114,394.1819
115,393.3647
116,393.7391
117,394.5898
118,388.8282
119,390.685
120,391.9852
121,393.9078
122,393.6344
123,392.1483
124,394.1927
125,394.5338
126,394.8787
127,394.8073
128,396.1976
129,390.353
130,387.778
131,387.7253
132,388.9974
133,389.4187
134,390.7461
135,385.6334
136,384.5529
137,380.1876
138,381.7082
139,382.0188
140,383.5937
141,376.3286
142,375.2419
143,377.4949
144,380.1113
145,384.1518
146,385.4049
147,388.7471
148,386.967
149,389.7436
150,388.9808
151,388.9554
152,388.5895
153,391.477
154,389.5013
155,390.2383
156,392.101
157,392.5006
158,394.4882
159,396.0887
160,393.3155
161,390.5259
162,392.2177
163,394.0057
164,396.3409
165,397.8465
166,398.2574
167,399.29
168,397.6347
169,397.3957
170,399.8936
171,402.9936
172,403.1046
173,403.6765
174,404.477
175,400.3194
176,400.1865
177,400.4034
178,399.5519
179,399.9147
180,401.4807
181,399.9469
182,388.6531
183,389.355
184,376.5961
185,372.9439
186,376.0075
187,366.8151
188,369.2704
189,368.1698
190,362.4601
191,365.8713
192,370.7808
193,361.6152
194,365.4739
195,367.2372
196,372.3531
197,375.536
198,380.1076
199,381.7172
200,383.6671
201,387.1881
202,382.0992
203,337.2352
204,340.4881
205,344.0618
206,349.128
207,354.679
208,361.2148
209,366.5081
210,370.4037
211,369.0103
212,373.5418
213,377.3758
214,380.0214
215,382.5631
216,387.0055
217,388.8571
218,385.3795
219,385.7831
220,387.6274
221,387.1801
222,387.618
223,388.0129
224,386.8471
225,388.0631
226,388.3419
227,384.4593
228,385.7936
229,385.399
230,387.064
231,385.9786
232,388.5811
233,391.3589
234,392.1862
235,391.082
236,393.3419
237,393.8441
238,392.9461
239,393.9194
240,396.9702
241,398.5774
242,401.8435
243,402.632
244,400.4258
245,400.505
246,401.0359
247,399.6629
248,401.9054
249,402.4108
250,405.0484
251,402.0591
252,401.3603
253,400.4286
254,400.6247
255,403.3068
256,403.4012
257,404.9469
258,402.6845
259,403.0616
260,405.0274
261,404.9153
262,404.1519
263,402.78
264,400.885
265,389.8936
266,390.0092
267,393.331
268,395.7137
269,396.2324
270,396.7618
271,394.3554
272,396.8057
273,400.307
274,401.6799
275,401.6161
276,400.7701
277,400.6256
278,397.5263
279,396.778
280,398.8846
281,398.5633
282,397.7328
283,393.4551
284,392.1358
285,393.0441
286,395.0182
287,397.1002
288,400.5142
289,401.028
290,403.9421
